Frase,Classificazione GPT4o,Deep Seek R1,DEEP SEEK R1 (controllo),QWEN 2.5 Max
"Thanks to the Corporate Cronies on the Supreme Court deciding in “Citizens United v FEC” that it is fine for Big Money to secretly spend fortunes on election ads, democracy sinks lower into its grave.",DEMOCRACY IS A FACADE,DEMOCRACY IS A GRAVE,GOVERNMENT IS A PERSON,DEMOCRACY DECLINE 
"The poverty sojourn is slated to begin Sunday, July 15, in -- can you guess where?",POVERTY IS A JOURNEY,POVERTY IS A JOURNEY,OTHER,POVERTY SOJOURN 
Haymarket wrote in part: I can strongly support the right to bear arms while not being an advocate for the gun culture and the spread of guns in our society.,GUN RIGHTS ARE VALUABLE POSSESSIONS,GUNS ARE A CULTURE,GUNS ARE A DISEASE,GUN CULTURE ADVOCACY 
"As if the corrupt ponzi scheme, SocialistSecurity weren't an obvious enough failure in American central planning, the government is now pushing to confiscate your 401Ks by mandating a 5% payroll tax to be redistributed to the general populationâ€_ well, in the end, the ""general population"" will get the scraps after government bureaucracy steals and destroys most of it.",GOVERNMENT ASSISTANCE IS A TRAP,GOVERNMENT IS A THIEF,GOVERNMENT IS A LEECH,GOVERNMENT CONFISCATION 
A Democracy steals freedom from its citizens.,GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS THEFT,DEMOCRACY IS A THIEF,GOVERNMENT IS A SLAVE MASTER,DEMOCRACY STEALS FREEDOM 
Taxation steals wealth from productive citizens in order to benefit the preferred programs and constituencies of the governing class.,TAXATION IS THEFT,TAXATION IS THEFT,TAXATION IS THEFT,TAXATION STEALS WEALTH 
"First of all...I don't like the argument that Nader steals votes from Democrats, even though that's partially why third parties are good (I'll get to that later).",OTHER,VOTES ARE POSSESSIONS,OTHER,ELECTION VOTE THEFT 
Sometimes I wonder if wealth steals our joy.,WEALTH IS A RESOURCE,WEALTH IS A THIEF,OTHER,WEALTH IS A RESOURCE
Biblical motifs recur some art-experts call them sermons in stone and their messages would certainly have been clear to the often-illiterate medieval pilgrims,COMMUNICATING IS DRAWING A PICTURE,ART IS A SERMON,IDEAS ARE OBJECTS,IDEAS ARE OBJECTS
"The perfect storm of homelessness and poor health in South Los Angeles requires a powerful human right to health approach that can engender the broad-based support and political will necessary to implement long overdue, desperately needed solutions.",SOCIAL PROBLEMS ARE DISEASES,HOMELESSNESS IS A STORM,OTHER,ADDRESSING POVERTY IS TREATING AN ILLNESS
"We believe that all people have the right to freedom of expression and access to information, and that the full enjoyment of this right is the most potent force to achieve individual freedoms, strengthen democracy, and pre-empt repression, conflict, war and genocide.",FREEDOM IS A VALUABLE POSSESSION,DEMOCRACY IS A FORCE,OTHER,CITIZEN RIGHTS ARE POSSESSIONS
"Restoring the right to vote strengthens democracy by increasing voter participation, helps people reintegrate into their communities after serving sentences, and gives those convicted a political voice.",GOVERNMENT'S POSITIVE TREATMENT OF RIGHTS IS STRENGTHENING AN OBJECT,DEMOCRACY IS A FORCE,OTHER,DEMOCRACY IS A PLANT
"The intent of this program is to remove the struggle of bureaucracy, Clewer said.",BUREAUCRACY IS A MAZE,BUREAUCRACY IS A STRUGGLE,BUREAUCRACY IS A MAZE,BUREACRACY IS A MAZE
Their visual differences spoke volumes of the racial and class cleavages that have define the historical struggle of democracy in Bolivia.,KNOWING IS SEEING,DEMOCRACY IS A STRUGGLE,ADVOCACY IS PHYSICAL COMBAT,DEMOCRACY IS A FACADE
"Of course, framing and populism might very well have to do with the success of guns and restaurants compared to underfunded software developers who find themselves under attack by the nazis in the entertainment industry who desperately want to keep up their immoral, unethical, and even illegal business practices.",ARGUMENT IS WAR,GUNS ARE A BUSINESS,ARGUMENT IS WAR,GUNS ARE OBJECTS OF WORSHIP
"The Money and the Power asks, in fact, whether the ""national surrender of democracy to oligarchy--the submission to house rules, as they might put it on the Strip""--has gone on too long to be reversed.",DEMOCRACY IS A FACADE,DEMOCRACY IS A FACADE,DEMOCRACY IS WAR,GOVERNMENT IS A BUSINESS
It completely glosses over the abject surrender of government from the policy making exercise.,OTHER,GOVERNMENT INACTION IS SLEEPING,OTHER,GOVERNMENT INACTION IS SLEEPING
"Modern Liberalism's many accomplishments, like the war on poverty that ended with the unconditional surrender of poverty, are just intimidating.",ADDRESSING POVERTY IS WAGING WAR,ADDRESSING POVERTY IS WAGING WAR,ADDRESSING POVERTY IS WAGING WAR,ADDRESSING POVERTY IS WAGING WAR
They were the cutting edge of the sword of democracy.,DEMOCRACY IS WAR,DEMOCRACY IS A WEAPON/PHYSICAL STRUCTURE,OTHER,DEMOCRACY IS A BIRD
The parliamentary system of democracy was one of major expectations which led us to war of independence but the system is inactive and ineffective for past 14 months.,INEFFECTIVE GOVERNMENT IS A POORLY-MANAGED BUSINESS,DEMOCRACY IS A PLANT,ADVOCACY IS PHYSICAL COMBAT,GOVERNMENT IS A MACHINE
"They may have contemplated a system of complete religious and civil democracy, or they may not.",OTHER,DEMOCRACY IS AN EQUAL PARTNERSHIP,OTHER,DEMOCRACY IS A TOWN MEETING
The August 1993 Arusha Peace Accords between the RPF and the government stipulated a continuation of the system of coalition government.,GOVERNMENTAL AGREEMENT IS PHYSICAL PROXIMITY,COOPERATIVE NATIONS ARE GOOD CITIZENS,OTHER,GOVERNMENT IS A DRIVER
This sort of system of double revenue sources mimics the much hated system of double corporate taxation in a perverse way.,OTHER,TAXATION IS A BURDEN,OTHER,TAXATION IS A BURDEN
"In a system of taxation based on justice and equity it is fundamental that the burdens be proportioned to the capacity of the people contributing (Mater et Magistra, 132).",TAXATION IS A BURDEN,TAXATION IS A FORCE,OTHER,TAXATION IS JUSTICE
A vote for either R or D where they both support the same system of taxation.,DEMOCRACY IS A FACADE,ELECTION IS A GAME,OTHER,TAXATION IS A SYSTEM
"If, like Utah, you?re on the lucky side of the pork trough, democracy tastes pretty sweet.",DEMOCRACY IS A COMMODITY,DEMOCRACY IS A COMMODITY,OTHER,DEMOCRACY IS A VALUABLE POSSESSION
I now drink from the goblet of riches…and the ambrosia of wealth tastes good.,WEALTH IS A SUBSTANCE,WEALTH IS A SUBSTANCE,WEALTH IS A SUBSTANCE,WEALTH IS A SUBSTANCE
"No amendment is 100% one way or another, and your gun team purposely creates a hyper stalemate to exacerbate the problem.",POLITICAL PARTIES ARE SPORTS TEAMS,ARGUMENT IS PHYSICAL COMBAT,DIFFICULTIES ARE IMPEDIMENTS TO MOVEMENT,GUN CONTROL REGULATION IS A MOTION IMPEDIMENT
The best news that has come is the rolling thunder of democracy spreading around the world from the northern coast of Africa such as Morroco Lybia Egypt the citizens of these one repressive nations dominated by dictators like Sadam and OMAR kADAFIE ARE NOW FINISHED AND WE SHOULD HOPE THAT THESE NATIONS WILL SEEEK THE FREEDOMS THAT GOD HAS PROVIDED EACH OF US AS HUMAN BEINGS THEN THEY CHOOSE FOR THEMSELVES THE TRUTH AND PATH THEY WILL FOLLOW more over we need such change like twenty years ago when russia was a powerful dictator the great communist nation is more democratic then ever before and soon the small once invisible nations will be free and hope with Gods blessings a peaceful nation building a democracy and given rights to its citizens.,DEMOCRACY IS A PLANT,DEMOCRACY IS A JOURNEY,OTHER,DEMOCRACY IS SPREADING
"In a polity where the power is purported to reside in ""the people,"" and in a society organized by a ""performative order of speech,"" he who could captivate the attention of an audience and persuade them through ""artful delivery"" of the truthfulness of his view would be in a position to sway the tide of government.",COMMUNICATING IS GUIDING,GOVERNMENT IS A LEADER,OTHER,GOVERNMENT IS A PERSON
"However, the torture of bureaucracy did not stop the workers from going on strike---they fought for their rights.",BUREAUCRACY IS A TORTURE,BUREAUCRACY IS A MAZE,BUREAUCRACY IS A BURDEN,BUREAUCRACY IS A DISEASE
"A tragedy for firearms (obviously), but also a tragedy for personal liberty, one of the key tenants of our country.",GUN RIGHTS ARE VALUABLE POSSESSIONS,RIGHTS ARE SHIELDS FROM HARM,GUN RIGHTS ARE VALUABLE POSSESSIONS,GUN RIGHTS ARE VALUABLE POSSESSIONS
"Motlagh spent weeks on the election trail with extraordinary access to some of the country's leading political players, including reformers and brutal warlords.",ACCESS TO KNOWLEDGE IS ACCESS TO AN OBJECT,ELECTION IS A RACE,ELECTION IS A RACE,ELECTION IS A RACE
My concern is that if the US continues on the big government trajectory many will go outside the US to create their wealth.,IMPROVING ECONOMIC STATUS IS MOVING OUT OF A LOCATION,GOVERNMENT IS A DISEASE,GOVERNING ACTION IS MOTION,WEALTH IS MOVING OUT OF A LOCATION
EPA just needs to set a minimum tax trajectory that any state could adopt.,TAXATION IS A FORCE,TAXATION IS A TRAJECTORY/FORCE,TAXATION IS A FORCE,TAXATION IS A TRAJECTORY
the mind is a traveler.,MIND IS A TRAVELER,MIND IS A TRAVELER,THINKING IS MOVING,MIND IS A TRAVELER
"Like many beautiful ideas, however, democracy travels through our minds shadowed by its doubles – bad ideas that are close enough to easily mistaken for the real thing.",IDEA SYSTEMS ARE FLUID MASSES,DEMOCRACY IS A JOURNEY,NEGATIVELY EVALUATED CONDITIONS ARE HARMFUL AGENTS,DEMOCRACY IS A JOURNEY
"KABUL, Afghanistan (AP) -- Afghans and the international community hailed its presidential election as a triumph of democracy over violence Sunday, despite complaints about ballot shortages and sporadic fraud after millions of people braved a Taliban threat to vote for a new president.",ELECTION IS A TRIUMPH OF DEMOCRACY,ELECTION IS WAR,ELECTION IS WAR,DEMOCRACY IS A VICTORY OVER VIOLENCE
"Poverty trumps genius,"" Gladwell said.",POVERTY IS A MOTION IMPEDIMENT,POVERTY IS A PHYSICAL AFFLICTION,POVERTY IS A FIERCE CREATURE,POVERTY IS A MOTION IMPEDIMENT
Wealth trumps income when looking at within achievement level impact on college attendance.,ACCESS TO EDUCATION IS ACCESS TO AN OBJECT,WEALTH IS LINEAR SPATIAL SCALE,WEALTH IS A RESOURCE,WEALTH IS A RESOURCE
"I don't like violence and shudder everytime I hear of violence being enacted, but if someone is robbing your or extorting you, whether it is cloaked in a uniform of government or not, it is your right to defend yourself.",GOVERNMENT IS A LEECH,GOVERNMENT IS A POLICEMAN,CITIZEN RIGHTS ARE SHIELDS FROM HARM,VIOLENCE IS A FLUID
"In other words: if we fall asleep at the wheel, it will guarantee that the vehicle of democracy will crash into a catastrophic brick wall.",NATION IS A VEHICLE,NATION IS A VEHICLE,NATION IS A VEHICLE,DEMOCRACY IS A VEHICLE
"Our position is (that) President Yanukovych needs to lead his country into a new future, and he needs to do so through the vehicle of a new government, change to the constitution and the political order.",LEADING A NATION IS DRIVING A VEHICLE,NATION IS A VEHICLE,NATION IS A VEHICLE,GOVERNMENT IS A VEHICLE
Your vehicle of wealth is the most important element to your accumulation of riches.,WEALTH IS A RESOURCE,WEALTH IS A VEHICLE,MEANS ARE PATHS,WEALTH IS A VEHICLE
One aspect of Christianity that naturally gets neglected is its veneration of poverty.,POVERTY IS VENERATED,POVERTY IS VENERATED,POVERTY IS A WEED,POVERTY IS VENERATED
"By romanticizing, he means the veneration of taxation or, as is often pushed by the modern left, the sentiment best spoken by Justice Oliver Wendell Holmes, ""Taxes are the price we pay for civilized society"".",TAXATION IS A BURDEN,TAXATION IS WORSHIP,TAXATION IS DUES,TAXATION IS VENERATED
"lthough no one is required to literally worship the State or its rulers, this society is held together by the veneration of wealth and the exercise of political power.",GOVERNMENT IS A RELIGION,WEALTH WORSHIP,BELIEFS ARE POSSESSIONS,WEALTH IS VENERATED
"Democrats still hold a thin majority in the House but are bereft of the iron-fisted ruler who held their party's contentious liberal and conservative factions together - Speaker Tom Murphy, another 2002 election victim.",CONTROL IS PHYSICAL RESTRAINT,GOVERNMENT IS A STRICT FATHER,GOVERNMENT IS A SLAVE MASTER,GOVERNMENT IS A RULER
"And when one considers that the typical American poverty victim in 1991 is a child, the case for strengthening the family unit combines both rational and humane reasons.",COMMUNITY IS A FAMILY,POVERTY IS A DISEASE,POVERTY IS PHYSICAL HARM,POVERTY IS A CRIME
This is the historical context of Obama's election victory.,OTHER,ELECTION VICTORY IS A HIGH POINT,WINNING AN ELECTION IS WINNING A WAR,ELECTION IS A VICTORY
His election victory was a high point in the history of post Civil War Illinois.,HIGH STATUS IS UP,ELECTION VICTORY IS A HIGH POINT,WINNING AN ELECTION IS WINNING A WAR,ELECTION IS A HIGH POINT
Our state government victory can mean a great deal -- if we have the wisdom and courage to use this power to show the real difference between the Party of Obama and the Party of Liberty.,GAINING POWER IS GAINING A POSSESSION,GOVERNMENT IS A BUSINESS,WINNING AN ELECTION IS WINNING A WAR,GOVERNMENT IS A VICTORY
It took more than a century-and-a-half to do it; and yet anyone might have foretold the ultimate victory of government because it always had the skill and the means to keep people on its side.,ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE,GOVERNMENT IS A MACHINE,GOVERNMENT IS A MACHINE,GOVERNMENT IS A VICTORY
"That is not anti gun victory, now, do we capitalize on the spineless nature of our reps, or do we let them regroup?",ELECTION IS WAR,ADVOCACY IS PHYSICAL COMBAT,ADVOCACY IS PHYSICAL COMBAT,GUN RIGHTS ARE A VICTORY
I am more worried that all this victory for guns is going to lead to a shadow assault on ammunition.,ACHIEVING GUN RIGHTS IS REACHING A DESTINATION,GUN CONTROL IS PHYSICAL HARM,GUN RIGHTS ARE VALUABLE POSSESSIONS,GUN RIGHTS ARE A VICTORY
He couches L'Enfant's plan as a victory of the legislature over the presidency by symbolically placing the CB at the center of the plan.,IMPORTANCE IS SIZE,GOVERNMENT IS A PHYSICAL STRUCTURE,GOVERNMENT INSTITUTION IS A PHYSICAL STRUCTURE,LEGISLATURE IS A VICTORY
"He had discovered the secret of turning the victory of poverty, the victory of sorrow, the victory of defeat and disappointment, the victory of death, into an imperial triumph to his own moral and spiritual life.",IMPROVING A STATE IS MOTION TO A PREFERRED LOCATION,POVERTY IS A DISEASE,POVERTY IS A FIERCE CREATURE,POVERTY IS A VICTORY
He got his little taxation victory over the so called fiscal cliff when they raised taxes on people making over $400K but he got kicked in the balls on any tax highs for the sequestration.,TAXATION IS PUNISHMENT,TAXATION IS WAR,TAXATION IS A FORCE,TAXATION IS A VICTORY
"The top story is about the victory of progressive taxation with the fiscal cliff, the next one is some pro-SSM ""marriage equality"" bull**** and the one following is essentially about wanting a more progressive president and saying Obama is falling short of that.",PROGRESS IS FORWARD MOTION ALONG A PATH,TAXATION IS WAR,TAXATION IS A FORCE,TAXATION IS A VICTORY
Inequalities created by the victory of wealth continue to trouble the serenity of this social harmony.,INSURMOUNTABLE DIFFERENCES IN WEALTH IS BARRIER TO ACCESSING A LOCATION,WEALTH IS A RESOURCE,WEALTH IS A RESOURCE,WEALTH IS A VICTORY
"Meanwhile, the Qatar bid has been widely labeled a victory for wealth and influence over commonsense.",WEALTH IS A RESOURCE,WEALTH IS A RESOURCE,WEALTH IS A RESOURCE,WEALTH IS A VICTORY
"Heavily affected American cars include Cadillac, with penalty of 21.8 percent, and Jeep Cherokee at 18 percent, on top of other duties (snip) The automobile industry in China is still heavily protected behind a ""tariff wall"" even though this wall has come down significantly since China's entry into the WTO.",BARRIERS TO ACCESSING A LOCATION,TAXATION IS A BARRIER,GOVERNMENT REGULATION IS A BARRIER,PROTECTIONISM IS A WALL
"Should it be built around high tariff walls and protectionism, or should it be open?",MARKET IS A NATURAL PROCESS,TAXATION IS A BARRIER,GOVERNMENT REGULATION IS A BARRIER,PROTECTIONISM IS A WALL
Having Suffered the war of debt in small business I can tell you that this book has been extremely helpful.,DEBT IS PHYSICAL IMPEDIMENTS TO MOTION,DEBT IS PHYSICAL IMPEDIMENTS TO MOTION,ECONOMIC HARDSHIP IS PHYSICAL HARM,DEBT IS A WAR
"I was wondering, does anyone really think that this is a simple war of democracy against evil?",DEMOCRACY IS WAR,ADDRESSING SOCIAL PROBLEMS IS WAGING WAR,DEMOCRACY IS WAR,DEMOCRACY IS A WAR
"It is just plain silly, in light of the ""success"" of the drug war to think that the gun war would work any better.",ADDRESSING GUN VIOLENCE IS WAGING WAR,ADDRESSING GUN VIOLENCE IS WAGING WAR,ADDRESSING GUN VIOLENCE IS WAGING WAR,WAR ON DRUGS IS A FAILURE
By 2009 the poverty rate stood at 14.3%--about where it was when the War of Poverty began.,ADDRESSING POVERTY IS WAGING WAR,POVERTY IS A DISEASE,ADDRESSING POVERTY IS WAGING WAR,WAR ON POVERTY IS A FAILURE
"This theme gets repeated, you know, in the war on poverty, again, where you have liberals trying to, you know, essentially have a war of poverty to deal with racial injustices.",ADDRESSING POVERTY IS WAGING WAR,ADDRESSING POVERTY IS WAGING WAR,ADDRESSING POVERTY IS WAGING WAR,ADDRESSING POVERTY IS WAGING WAR
"A recent paper by Yale Tax Law Professor Susannah Tahk introduces the concept of the ""tax war on poverty"" and analyzes the growing number of tax code provisions to which the concept refers.",ADDRESSING POVERTY IS WAGING WAR,TAXATION IS WAR,TAXATION IS WAR,TAXATION IS A WAR
"They will try to make the use of arms prohibitively expensive, or useless in some other way through a war of taxation and attrition, and the hyper regulation of munition factories (laws regardining workers around lead).",TAXATION IS WAR,GUN CONTROL REGULATION IS PHYSICAL HARM,TAXATION IS WAR,GUN CONTROL REGULATION IS A DISEASE
"Second Your Arhuing that if America Wantstovote emotionally to FRG us back 100 years in time,we should.Why I may ask,do you want to return to failed tariff wars and anti globalist great depression policies that ruined nearly every economy in the Western world????Do you realize no economy can be on top by producing and selling to itself,Infact those countries are almost always the poorest countries with the lowest standard of living.",ECONOMY IS A COMPLEX STRUCTURE,TAXATION IS A BURDEN,TAXATION IS WAR,ECONOMIC HARDSHIP IS PHYSICAL HARM
"It's a huge stretch to view these uprisings as a seamless wave of democracy; but it would go too far in the other direction to see them as strictly discrete events, each unrelated to the other.",EVENTS ARE OBJECTS,DEMOCRACY IS A WAVE/FLUID,DEMOCRACY IS A FACADE,DEMOCRACY IS A PLANT
"The weed of government must be constantly trimmed back, if not uprooted outright.",GOVERNMENT IS A PLANT,GOVERNMENT IS A WEED,GOVERNMENT IS A DISEASE,GOVERNMENT IS A WEED
It is time to whack the weeds of poverty and economic insecurity.,POVERTY IS A WEED,POVERTY IS A WEED,POVERTY IS A WEED,POVERTY IS A WEED
"While it resulted in a government win, it presented many new challenges such as keeping it on a very tight schedule, he said.",OTHER,GOVERNMENT IS A GAME,GOVERNMENT IS WAR,GOVERNMENT IS A WINNER
Good guys with guns for the win.,ARGUMENT IS WAR,ADVOCACY IS PHYSICAL COMBAT,ADVOCACY IS PHYSICAL COMBAT,GUNS ARE GOOD
"But it didn't, and so the eternal truism has again been proved: In the classic struggle between simplicity and fairness, bureaucracy wins every time.",BUREAUCRACY IS A MACHINE,BUREAUCRACY IS A MAZE,BUREAUCRACY IS A MACHINE,BUREAUCRACY IS A WINNER
Poverty wins every game.,POVERTY IS A CRIME,POVERTY IS A DISEASE,POVERTY IS A FIERCE CREATURE,POVERTY IS A WINNER
"When liberals turn on each other because of failure in the Senate, the Senate wins.",ELECTION IS A BOXING MATCH,ELECTION IS WAR,ELECTION IS WAR,GOVERNMENT IS A WINNER
"Apparently, wealth wins over good looks -- Milton appears to have been a not unattractive young man!",POWER IS A POSSESSED OBJECT,WEALTH IS A RESOURCE,WEALTH IS A RESOURCE,WEALTH IS A WINNER
"Indeed Buchanan goes further than liberals ever did, attacking what he calls ""the Democratist temptation, the worship of democracy"" as ""a false god.""",GOVERNMENT IS A RELIGION,DEMOCRACY WORSHIP,BELIEFS ARE POSSESSIONS,DEMOCRACY IS WORSHIP
"Yet such is the power of democracy worship, this secular religion, to blind people to the evidence of their own eyes that virtually every Western leader favored one-man, one-vote democracy in Rhodesia.",DEMOCRATIC IDEOLOGY IS A COMMODITY,DEMOCRACY WORSHIP,BELIEFS ARE POSSESSIONS,DEMOCRACY IS WORSHIP
Has CSM joined modern liberals in their elevation and worship of elections as determinants of morality to the exclusion of God and reason?,DEMOCRATIC IDEOLOGY IS A COMMODITY,ELECTION WORSHIP,BELIEFS ARE POSSESSIONS,ELECTIONS ARE WORSHIP
Turtle - I fully realize that the sycophants and toadies of the gun lobby are dead set against my idea since it might cause some to have a negative feeling about these unnecessary deaths and worship of the almighty firearm is akin to a religion here for some.,GUNS ARE OBJECTS OF WORSHIP,GUN WORSHIP,GUNS ARE OBJECTS OF WORSHIP,GUNS ARE OBJECTS OF WORSHIP
"Together with their new-found wealth, many Thais quickly shifted from their rustic, culturally-knitted lifestyle to pursue materialism and the worship of money.",GUNS ARE OBJECTS OF WORSHIP,WEALTH WORSHIP,WEALTH IS A VALUABLE POSSESSION,MONEY IS WORSHIP
This country could use alot more of that for sure but it is clear to me the GOP has taken wealth worship to a new level and it is not a balenced aproach.,GUNS ARE OBJECTS OF WORSHIP,WEALTH WORSHIP,EXCESS WEALTH IS DISGUSTING,WEALTH IS WORSHIP
Is that most of your fellow gun worshippers?,GUNS ARE OBJECTS OF WORSHIP,GUN WORSHIP,GUNS ARE OBJECTS OF WORSHIP,GUNS ARE OBJECTS OF WORSHIP
"Never mind that democracy is another name for mob rule, a tyranny of the majority, but this shallow ideology worships elections at the expense of reason and consequences.",DEMOCRACY IS A FACADE,DEMOCRACY WORSHIP,DEMOCRACY IS A FACADE,DEMOCRACY IS WORSHIP
"The question of voting for the ""lesser of two evils"" was addressed, as well as the myth of elections being the zenith of democracy.",ELECTION IS A FACADE,ELECTION WORSHIP,CONSIDERING THE IMPORTANCE OF RIGHTS IS PLAYING A GAME,ELECTIONS ARE WORSHIP
